id, a9, reg, prov, mun, brgy,a1,a2,a3,a4,a5,b1,b3,b6,b7,b8,b9,b10,b11,b12,c1,c2,c4,c6,c7,c8,c9,c10,e1,e3,d1,d2,d12,d13,d14,d15,d7,d8,d9,d10
20,unknown,3,3,unknown,unknown,1,15,0,1,4,8,3,2,1,,1,1,6,7,1,3,2,5,5,5,4,2,3,2,0,1,3,8,2,0,6,1,2,2
21,2,3,3,19,26,2,10,0,1,3,7,2,2,2,,1,1,1,11,1,2,2,5,7,5,2,1,4,2,1,2,3,7,1,1,5,1,2,2
22,2,3,3,19,26,1,12,1,1,4,12,3,1,4,2,1,1,1,3,1,3,1,4,2,1,1,1,3,1,0,1,4,12,1,0,3,1,2,2
23,unknown,3,3,unknown,unknown,2,9,1,1,3,9,2,2,3,2,1,0,12,12,1,2,1,1,1,1,4,1,1,1,0,1,3,9,1,0,1,2,1,7
24,2,3,3,19,26,2,12,1,1,4,12,3,4,1,,2,0,8,5,1,3,1,1,5,5,,1,3,1,0,1,5,12,1,,4,2,2,3
26,unknown,3,3,unknown,unknown,1,13,1,1,3,11,2,1,2,,1,1,1,4,2,2,2,4,2,2,1,1,1,1,0,1,5,11,1,0,2,3,2,1
28,2,3,3,19,26,2,15,1,1,3,14,2,3,2,,1,0,5,1,2,2,3,3,2,2,2,5,2,1,0,2,1,14,2,1,1,1,2,2
29,2,3,3,19,26,1,14,1,1,4,10,2,4,2,,1,1,3,2,3,2,2,2,2,2,2,2,3,2,0,3,2,10,1,1,4,2,2,1
33,unknown,3,3,unknown,unknown,2,13,1,1,4,12,2,2,2,,1,0,1,3,2,2,3,2,4,2,,2,3,1,0,1,3,10,1,,8,2,2,4
34,2,3,3,19,27,2,14,1,1,4,13,2,1,2,,1,1,3,3,3,1,2,2,1,2,1,2,4,1,0,4,4,13,1,99,7,2,2,3
36,2,3,3,19,27,1,10,1,1,3,8,1,1,1,,99,1,2,1,3,2,2,2,2,99,99,2,99,99,99,99,99,99,99,99,99,99,99,99
38,unknown,3,3,unknown,unknown,2,17,1,1,5,17,4,1,5,1,1,1,8,8,1,2,4,2,5,2,,4,4,99,1,2,1,17,1,,7,1,2,3
39,2,3,3,19,27,2,13,1,1,4,11,3,2,2,,2,1,1,3,2,2,3,2,2,1,,4,3,2,0,1,1,11,1,,5,2,1,3
41,unknown,3,3,unknown,unknown,2,11,1,1,4,11,2,5,7,1,1,1,6,7,2,2,2,2,2,1,1,1,2,1,0,1,2,10,1,1,1,2,1,3
44,unknown,3,3,unknown,unknown,2,13,1,1,4,10,2,1,1,,1,0,1,3,2,3,2,2,2,3,1,4,3,2,0,1,3,10,1,99,5,1,2,5
45,2,3,3,15,19,2,12,1,1,4,12,2,2,2,,1,0,1,1,3,2,1,1,1,,,1,2,1,0,,,,,,,,,
46,2,3,3,15,19,1,12,1,1,3,12,3,1,4,1,1,1,4,3,3,3,4,5,5,1,2,4,3,1,0,3,1,11,1,0,4,1,1,3
47,unknown,3,3,unknown,unknown,1,12,1,1,4,9,4,2,1,,2,1,4,11,1,4,3,2,2,2,1,5,1,1,0,2,1,7,1,0,9,2,2,2
48,unknown,3,3,unknown,unknown,2,16,1,1,4,12,4,2,6,2,1,1,12,12,2,2,4,6,4,2,,5,4,99,1,2,99,12,1,,99,4,2,3
49,unknown,3,3,unknown,unknown,1,16,1,1,4,10,4,7,1,,2,0,8,9,2,3,2,2,2,2,1,6,4,2,1,4,4,10,1,99,8,1,2,3
51,2,3,3,15,21,2,9,1,1,3,8,2,3,1,,1,0,2,1,5,3,2,2,2,,1,3,1,,0,,,,,0,,,,
52,2,3,3,15,21,2,11,1,1,3,10,2,2,2,,1,0,4,3,2,4,3,3,3,2,2,2,2,3,0,1,4,10,1,0,1,3,1,4
53,2,3,3,15,21,2,10,1,1,3,9,3,2,2,,1,0,2,1,2,2,2,1,1,,,1,1,,0,,,,,,,,,
54,2,3,3,15,21,2,13,1,1,4,12,2,2,5,1,2,1,1,1,3,1,1,1,2,2,2,2,3,1,0,1,3,12,1,99,3,2,2,3
55,2,3,3,15,21,1,15,1,1,4,7,3,4,6,2,3,0,3,2,2,2,3,8,2,2,99,99,2,3,0,2,1,13,3,99,6,2,2,99
56,2,3,3,15,21,1,14,1,1,4,10,3,1,2,,1,0,3,5,2,3,2,1,2,1,4,1,2,2,1,1,3,10,5,1,1,2,2,2
57,2,3,3,15,21,1,13,1,1,4,12,4,2,2,,1,0,1,8,3,3,3,2,2,1,1,1,3,1,0,1,4,12,1,0,5,2,2,1
60,2,3,3,15,21,2,16,0,1,4,12,2,5,1,,1,1,11,11,2,2,3,2,1,1,,1,3,1,0,3,1,12,1,,10,2,2,3
62,2,3,3,15,20,2,9,0,1,3,10,2,2,2,,1,0,1,1,3,1,1,1,1,,,1,2,,0,,,,,,,,,
63,2,3,3,15,20,1,9,1,1,3,8,2,1,1,,1,1,4,3,1,3,2,1,1,,1,1,3,,0,,,,,99,,,,
64,2,3,3,15,20,2,11,1,1,3,11,1,2,1,,1,0,1,3,2,3,1,1,1,,,2,2,,0,,,,,,,,,
66,unknown,3,3,unknown,unknown,1,17,0,0,4,17,2,5,5,2,1,1,9,9,1,99,4,5,5,5,5,2,99,1,0,4,1,17,5,0,4,2,1,4
67,2,3,3,15,20,1,14,1,1,4,12,3,1,5,2,1,1,2,1,2,2,2,2,2,2,1,1,2,1,0,1,2,12,3,0,5,1,2,3
68,2,3,3,15,20,2,17,0,0,5,16,2,2,5,1,1,1,2,4,2,2,2,5,4,1,,4,2,2,1,1,3,16,1,,1,1,2,2
70,unknown,3,3,unknown,unknown,1,13,1,1,4,12,1,2,2,,1,0,3,3,2,1,2,2,5,2,1,2,1,1,0,3,1,12,1,1,1,1,2,5
73,2,3,3,17,23,1,11,1,1,4,10,2,1,1,,1,0,3,5,3,3,99,2,2,99,4,99,99,99,99,99,99,99,99,1,99,99,99,99
75,2,3,3,17,23,2,15,1,1,4,15,3,2,1,,2,0,6,4,2,3,2,5,2,1,2,2,3,2,1,1,1,15,2,0,1,3,2,2
76,2,3,3,17,23,1,12,1,1,4,9,2,1,1,,1,0,3,3,1,1,2,2,2,2,1,2,3,1,0,1,1,9,3,0,2,1,2,3
77,2,3,3,17,23,1,15,1,1,4,15,4,2,2,,1,1,3,3,2,3,6,7,4,1,1,1,2,2,0,3,2,15,3,0,2,1,2,1
79,unknown,3,3,unknown,unknown,2,12,1,1,3,12,4,3,5,1,1,0,1,2,1,4,2,2,5,1,1,4,4,1,0,2,1,12,1,1,2,2,2,3
81,unknown,3,3,unknown,unknown,2,10,1,1,3,10,2,1,4,1,1,1,1,2,2,1,3,5,5,2,1,2,3,2,1,3,4,10,5,99,14,1,2,1
83,2,3,3,16,22,1,11,0,1,3,9,3,1,1,,1,0,2,3,2,3,2,2,2,2,1,2,1,,0,1,4,10,1,0,6,2,2,2
84,2,3,3,16,22,1,10,0,1,3,1,99,99,99,,99,99,99,99,99,99,99,99,99,99,1,1,1,1,0,2,99,99,99,0,99,99,99,99
85,2,3,3,16,22,2,13,1,1,4,12,3,4,2,,99,0,3,3,1,1,4,3,1,99,1,2,2,2,0,1,4,12,5,0,4,2,2,2
86,2,3,3,16,22,2,15,1,1,4,9,2,2,1,,1,1,5,9,3,3,5,2,2,2,1,1,4,1,0,3,1,10,3,0,10,2,2,5
87,unknown,3,3,unknown,unknown,1,15,0,1,4,12,3,1,1,,1,0,3,1,1,2,2,2,2,2,,3,1,,0,1,1,12,1,,6,3,2,3
88,unknown,3,3,unknown,unknown,2,16,1,1,4,14,2,1,2,,1,0,4,8,2,2,2,4,2,1,1,2,3,1,0,1,3,14,5,0,6,2,3,3
89,unknown,3,3,unknown,unknown,1,16,0,1,4,15,3,2,2,,2,1,2,3,1,2,2,3,2,2,1,2,3,2,0,3,4,15,2,0,8,1,2,1
90,2,3,3,16,22,1,16,1,1,4,13,2,4,3,2,1,0,3,4,3,2,3,7,7,7,4,1,4,2,0,1,1,13,1,1,5,1,2,3
91,unknown,4,6,unknown,unknown,1,10,1,1,2,9,1,1,1,,1,0,1,1,2,2,1,1,1,,1,1,1,,0,,,,,0,,,,
92,2,4,6,35,46,2,10,99,1,3,10,2,4,4,1,1,0,3,3,2,2,2,99,99,99,99,99,3,1,0,3,1,9,2,1,4,3,2,2
93,unknown,4,6,unknown,unknown,1,11,0,1,3,5,4,1,1,,1,1,3,3,2,1,3,1,1,3,1,1,1,1,0,1,3,5,1,0,2,1,2,7
94,unknown,4,6,unknown,unknown,1,11,1,1,3,7,1,1,1,,2,0,1,1,2,2,2,2,1,99,99,99,99,99,99,99,99,99,99,1,5,99,2,99
95,unknown,4,6,unknown,unknown,2,13,0,1,4,11,2,1,2,,1,0,1,1,3,1,2,2,1,2,,2,2,2,0,1,3,11,1,,5,1,2,2
96,unknown,4,6,unknown,unknown,1,13,1,1,3,11,2,1,3,1,1,0,4,4,1,4,3,3,7,5,4,1,3,2,0,3,2,11,1,0,4,1,2,2
97,unknown,4,6,unknown,unknown,1,14,1,1,4,14,4,4,6,2,1,1,2,2,2,2,1,4,2,,2,4,2,2,0,,,,,0,,,,
98,unknown,4,6,unknown,unknown,1,15,1,1,4,10,2,2,2,,1,0,2,5,1,3,2,2,3,3,3,2,3,1,0,4,4,12,1,0,3,2,2,2
99,unknown,4,6,unknown,unknown,2,16,0,1,4,13,3,2,1,,2,1,1,9,2,2,5,2,2,4,1,6,4,2,0,2,3,13,2,99,7,3,2,4
100,unknown,4,6,unknown,unknown,2,17,1,1,5,10,3,2,2,,2,1,4,4,2,2,2,2,2,2,3,2,2,2,1,2,1,10,1,1,7,1,1,1
101,2,4,6,36,47,2,9,1,1,3,8,2,2,1,,1,1,3,2,1,3,1,1,99,,,99,1,,1,,,,,,,,,
103,2,4,6,36,47,1,13,1,1,3,11,2,1,5,1,1,1,2,2,2,2,2,2,2,2,1,1,3,,0,1,99,11,1,1,5,1,2,99
104,unknown,4,6,unknown,unknown,1,12,0,1,4,10,2,1,1,,1,1,3,3,3,2,2,5,5,1,1,1,1,,0,1,3,12,1,1,1,2,2,1
105,unknown,4,6,unknown,unknown,1,13,1,1,4,9,4,4,2,,1,1,3,4,1,2,5,1,1,1,2,3,3,2,0,1,1,9,2,1,12,2,2,1
106,2,4,6,36,47,2,15,1,1,4,11,3,1,7,2,1,1,9,9,2,2,2,2,4,2,2,2,4,2,0,4,3,11,5,1,6,1,2,2
107,2,4,6,36,47,2,16,0,1,5,10,4,2,2,,2,1,3,7,2,2,4,5,4,4,1,4,4,2,0,2,1,10,1,0,11,1,2,3
108,2,4,6,36,47,2,17,1,1,3,7,2,6,2,,1,1,5,5,1,2,3,3,4,6,6,2,3,2,1,2,1,10,5,0,3,1,2,2
109,unknown,4,6,unknown,unknown,1,15,1,1,4,9,3,2,2,,2,0,1,8,2,2,3,1,2,2,1,4,3,1,1,2,1,6,1,0,4,1,2,3
110,2,4,6,36,47,1,16,99,99,99,99,99,99,99,,99,,,,,,,,,,,,,,,,,,,,,,,
112,unknown,4,6,unknown,unknown,1,11,1,1,3,9,4,1,1,,1,1,1,1,1,3,2,1,1,1,1,1,3,,0,3,2,10,1,1,1,1,2,3
113,unknown,4,6,unknown,unknown,2,11,1,1,3,10,4,4,2,,2,0,8,8,2,3,2,5,2,2,2,2,4,1,1,3,1,10,1,1,7,1,2,3
114,unknown,4,6,unknown,unknown,1,11,1,1,2,7,3,1,1,,1,1,3,4,1,99,99,3,1,,1,1,3,,0,,,,,0,,,,
115,unknown,4,6,unknown,unknown,1,12,1,1,3,12,2,1,1,,1,1,3,3,3,3,2,2,2,2,2,2,3,,0,3,2,10,5,1,6,2,2,2
116,unknown,4,6,unknown,unknown,2,13,1,1,4,10,3,1,1,,1,0,8,9,3,2,2,2,2,3,3,5,3,2,1,3,2,10,5,1,6,1,2,3
117,unknown,4,6,unknown,unknown,1,14,0,1,4,6,2,2,1,,1,0,8,6,1,5,5,1,2,1,2,2,5,1,0,1,99,99,5,1,6,1,2,2
118,unknown,4,6,unknown,unknown,1,15,0,0,4,11,99,99,99,,99,99,3,5,2,99,99,5,4,5,99,2,1,1,0,99,3,11,2,0,16,2,1,5
119,2,4,6,36,48,1,16,1,0,5,99,3,99,1,,1,1,9,2,2,99,99,99,99,99,,99,3,2,0,99,99,99,99,,99,3,99,99
121,2,4,6,36,49,2,10,1,1,3,8,2,1,2,,2,0,2,2,1,3,5,2,99,99,99,2,3,2,0,3,1,8,5,1,1,1,2,1
122,unknown,4,6,unknown,unknown,1,10,1,1,3,10,1,2,2,,1,0,3,4,1,1,2,1,2,2,,2,1,2,0,1,2,10,2,,6,99,99,99
123,unknown,4,6,unknown,unknown,2,14,1,1,1,1,3,1,2,,1,1,1,6,1,2,4,1,1,1,99,99,3,1,1,2,1,12,5,1,15,1,2,3
126,unknown,4,6,unknown,unknown,2,15,1,1,4,12,2,2,5,2,1,0,2,2,2,2,2,1,1,1,,2,3,1,0,5,1,12,1,,7,1,2,1
127,unknown,4,6,unknown,unknown,2,16,0,1,4,8,2,6,5,2,2,0,12,12,2,2,2,1,1,,,1,1,99,99,,,,,,,,,
128,2,4,6,36,49,2,17,1,1,99,11,2,5,5,1,3,0,6,9,1,2,2,3,2,,,,,,,,,,,,,,,
129,unknown,4,6,unknown,unknown,1,16,0,1,4,9,2,2,7,2,1,1,8,9,2,2,3,2,2,5,99,2,3,2,0,99,1,9,1,0,6,1,2,1
130,unknown,4,6,unknown,unknown,1,17,0,1,3,9,3,4,1,,1,1,5,5,1,2,1,1,1,,,1,3,,0,,,,,,,,,
131,unknown,4,6,unknown,unknown,2,9,1,1,3,9,3,2,2,,2,0,3,12,1,5,2,2,8,8,8,2,5,1,1,5,3,9,0,1,16,4,3,7
132,unknown,4,6,unknown,unknown,1,10,1,1,3,8,2,2,2,,1,0,1,1,2,2,1,1,1,1,,2,1,1,0,1,3,9,1,,1,1,2,3
133,unknown,4,6,unknown,unknown,2,13,0,1,4,8,3,4,2,,1,1,3,5,2,1,3,5,99,,99,99,3,2,1,,,,,1,,,,
134,unknown,4,6,unknown,unknown,1,13,0,1,4,9,4,2,2,,1,0,1,7,2,2,4,6,5,6,1,4,4,2,1,2,1,10,5,1,6,2,2,3
135,unknown,4,6,unknown,unknown,1,14,1,1,5,10,2,1,1,,1,0,3,3,1,2,2,1,1,1,1,1,1,1,0,1,99,10,99,1,16,4,3,99
136,unknown,4,6,unknown,unknown,2,15,1,1,4,14,4,7,2,,1,1,6,6,2,3,6,4,4,4,3,4,3,99,0,2,4,14,5,1,7,1,2,4
137,2,4,6,38,51,2,15,1,1,3,1,2,2,2,,2,1,4,4,3,3,3,2,99,99,99,99,2,2,1,2,4,10,1,0,12,2,2,3
140,unknown,4,6,unknown,unknown,1,17,0,1,4,13,2,2,5,2,1,1,99,99,2,99,2,99,2,2,99,2,99,99,0,5,99,13,1,0,6,99,3,2
141,2,4,6,37,50,2,9,1,1,3,7,2,2,2,,1,1,3,3,1,1,1,99,99,,99,99,99,99,1,,,,,0,,,,
142,2,4,6,37,50,2,11,1,1,3,11,99,1,6,1,1,0,2,99,1,1,2,2,3,2,2,2,3,1,0,3,4,11,1,1,6,1,2,99
143,2,4,6,37,50,2,10,1,1,2,99,1,1,5,1,1,1,2,2,1,1,1,1,1,,,1,3,,0,,,,,,,,,
145,2,4,6,37,50,2,14,1,1,4,11,1,2,2,,2,1,2,12,2,2,2,1,1,1,1,1,3,1,0,2,2,11,4,99,4,1,2,3
146,2,4,6,37,50,2,12,1,1,3,10,2,1,5,1,1,1,1,3,1,1,1,2,2,2,1,2,2,1,0,1,2,11,3,0,3,4,2,2
147,unknown,4,6,unknown,unknown,1,14,1,1,4,14,3,4,2,,1,1,4,5,5,2,2,8,8,8,8,8,99,2,99,99,2,12,2,0,4,2,2,1
148,unknown,4,6,unknown,unknown,2,15,1,1,4,12,4,2,2,,3,1,12,7,2,99,2,2,1,2,,2,4,99,0,99,99,12,5,,99,1,2,99
149,unknown,4,6,unknown,unknown,2,17,1,1,8,17,4,1,1,,1,0,2,1,1,1,1,3,99,99,99,99,3,99,0,1,2,12,0,99,1,99,2,99
150,unknown,4,6,unknown,unknown,1,15,1,1,4,7,4,5,2,,2,1,9,9,1,3,4,6,2,99,1,99,4,2,1,4,1,7,1,0,11,2,2,2
152,2,4,6,39,52,2,13,1,1,4,10,2,2,2,,2,1,3,3,2,2,2,2,99,99,99,99,2,2,1,1,1,10,1,0,9,1,2,2
153,unknown,4,6,unknown,unknown,2,13,1,1,4,11,2,2,2,2,2,1,3,3,2,1,2,3,2,2,1,2,2,1,1,2,3,11,1,1,10,1,2,3
154,2,4,6,39,52,1,14,1,1,4,10,2,2,3,2,2,0,3,3,2,1,1,2,2,2,2,2,2,2,1,2,99,10,0,0,5,1,2,1
155,unknown,4,6,unknown,unknown,2,14,1,1,3,11,2,5,5,2,1,0,9,8,1,2,99,2,99,3,1,2,3,99,0,99,99,11,99,0,6,99,3,2
156,2,4,6,39,52,1,15,0,1,4,10,2,5,5,1,2,1,6,6,1,3,6,4,7,5,,2,3,1,1,3,1,10,3,,3,1,2,3
157,unknown,4,6,unknown,unknown,2,16,1,1,5,13,3,4,4,2,1,1,3,4,2,2,4,1,3,5,3,4,3,2,1,3,1,13,1,0,2,3,2,2
158,2,4,6,39,52,2,16,1,1,5,11,2,1,2,,2,1,3,1,2,2,1,2,2,99,99,99,3,3,1,1,99,99,99,99,99,99,99,99
159,2,4,6,39,52,2,17,0,1,4,10,2,5,2,,1,1,3,3,2,5,2,5,5,4,5,2,3,2,1,3,2,10,5,1,6,2,2,1
160,2,4,6,39,52,2,14,1,1,4,10,1,1,2,,2,1,3,3,2,2,2,2,2,2,3,1,2,2,1,1,1,12,0,0,5,1,2,4
161,unknown,4,6,unknown,unknown,2,10,1,1,3,9,2,1,1,,1,0,2,2,2,2,2,1,1,1,,3,1,1,0,1,3,9,1,,2,1,2,3
162,unknown,4,6,unknown,unknown,2,11,1,1,3,9,2,2,1,,1,0,2,2,2,2,3,2,1,2,,1,3,99,0,2,3,9,1,,4,1,2,3
163,2,4,6,40,53,1,10,0,1,2,7,1,1,1,,1,0,3,3,2,2,1,1,1,,,1,1,,0,,,,,,,,,
164,2,4,6,40,53,1,10,1,1,2,6,1,1,1,,1,0,4,4,1,2,3,1,1,,2,1,1,1,0,,,,,1,,,,
165,2,4,6,40,53,1,10,0,1,2,5,1,1,1,,1,0,3,3,1,1,1,1,1,,,1,1,,99,,,,,,,,,
166,2,4,6,40,53,2,12,1,1,4,10,3,2,1,,2,1,1,12,1,2,2,2,2,2,1,3,3,1,0,3,3,10,2,99,14,3,2,3
167,2,4,6,40,53,1,13,1,1,4,12,3,5,2,,2,1,3,4,1,2,4,4,2,4,4,1,3,2,0,1,1,12,1,1,6,3,2,1
169,2,4,6,40,53,2,17,1,1,5,14,2,7,2,,1,1,3,4,1,3,3,6,5,2,2,4,3,2,0,2,4,14,5,99,1,2,2,2
170,unknown,4,6,unknown,unknown,1,16,1,1,4,13,2,5,4,2,1,1,4,12,1,2,4,2,8,8,8,4,3,2,0,2,1,13,2,0,11,1,2,2
171,unknown,4,6,unknown,unknown,2,9,1,1,3,7,3,1,5,1,1,0,9,9,2,1,3,2,1,,3,2,1,1,0,,,,,1,,,,
172,unknown,4,6,unknown,unknown,1,9,1,1,3,7,2,1,1,,1,1,2,2,3,2,1,1,1,1,1,1,2,,0,2,3,8,2,0,16,1,2,3
173,unknown,4,6,unknown,unknown,1,10,1,1,2,9,2,1,1,,1,0,3,3,2,2,3,1,1,,1,1,1,,0,,,,,0,,,,
175,unknown,4,6,unknown,unknown,2,12,1,1,4,12,2,4,2,,99,0,99,4,2,99,2,1,1,1,1,2,2,1,0,2,4,12,2,99,5,1,2,3
178,unknown,4,6,unknown,unknown,1,15,0,1,4,13,2,4,3,1,2,0,3,3,2,1,3,5,6,4,4,4,2,1,0,3,2,99,1,0,1,1,2,3
179,unknown,4,6,unknown,unknown,2,16,1,1,5,1,2,5,4,2,2,1,2,10,2,3,3,3,2,2,4,4,2,1,0,2,2,14,2,0,7,1,2,4
180,unknown,4,6,unknown,unknown,1,17,1,1,5,10,4,5,2,,1,1,5,8,2,2,4,4,4,1,3,4,3,2,1,3,1,10,5,0,7,1,2,3
183,2,17,24,136,208,2,13,1,1,4,12,2,1,1,,1,1,1,3,1,2,2,2,2,2,,2,4,1,0,1,1,12,1,,11,1,2,2
184,1,17,24,136,208,2,14,1,1,4,12,3,8,5,1,2,1,4,8,1,2,6,4,4,4,1,6,4,3,0,5,3,12,5,0,16,1,2,3
185,unknown,17,24,unknown,unknown,1,13,1,1,7,12,2,2,2,,1,1,9,8,2,2,5,2,2,2,2,2,3,2,0,3,1,12,5,1,2,2,2,3
186,2,17,24,136,208,1,13,1,1,4,99,2,3,1,,1,0,1,1,2,2,2,2,2,2,2,3,3,1,0,3,2,1,1,1,5,2,2,3
187,2,17,24,136,208,2,15,0,1,5,13,3,2,1,,1,1,1,1,2,5,3,5,6,5,2,2,2,2,0,1,3,13,5,1,16,1,2,3
188,2,17,24,136,208,2,16,1,1,5,14,2,2,4,2,1,1,8,12,3,2,3,5,7,4,3,5,3,2,0,1,4,14,4,0,16,4,2,7
189,unknown,17,24,unknown,unknown,2,15,1,1,4,12,2,4,4,2,3,1,1,5,2,2,3,4,8,8,1,2,3,2,0,5,3,12,2,1,6,2,2,2
190,2,17,24,136,208,1,15,1,1,4,12,3,2,4,2,1,1,4,5,2,1,2,2,2,2,2,2,3,1,0,2,1,12,4,0,7,1,2,2
191,2,17,24,137,209,2,10,1,1,3,8,2,1,1,2,1,1,2,2,2,3,1,2,2,1,4,1,1,3,1,5,99,8,0,99,99,99,3,99
192,2,17,24,137,209,2,11,1,1,3,9,2,1,1,,1,1,12,2,2,2,2,2,2,2,2,1,3,2,0,3,1,9,4,1,4,2,3,1
193,2,17,24,137,209,2,13,1,1,4,11,2,2,2,,1,0,1,1,2,2,3,1,1,,,1,2,1,0,,,,,,,,,
194,unknown,17,24,unknown,unknown,2,13,1,1,4,13,2,2,1,,1,0,3,1,3,2,3,1,1,3,,3,1,1,0,3,4,13,3,,6,1,2,2
195,2,17,24,137,209,1,12,1,1,4,10,3,5,1,,1,1,2,3,2,1,3,3,2,5,2,1,1,1,0,3,3,10,5,0,1,2,1,5
196,2,17,24,137,209,1,13,1,1,4,13,2,1,1,,1,1,1,2,1,2,3,1,1,1,1,1,1,1,0,5,3,13,1,1,2,2,2,6
197,2,17,24,137,209,2,14,1,1,4,11,4,6,1,,1,1,6,7,2,2,3,2,5,6,1,6,4,2,0,2,2,11,1,0,11,2,2,5
199,2,17,24,137,209,2,16,1,1,5,11,1,1,1,,1,1,3,2,1,2,4,4,4,2,1,4,3,2,0,1,1,11,3,1,11,1,2,2
200,2,17,24,137,209,1,16,1,1,4,16,4,1,2,,1,1,1,3,1,2,2,4,2,2,2,2,2,1,1,3,2,16,2,0,4,3,2,1
201,2,17,24,138,210,2,11,1,1,3,10,2,1,1,,1,1,3,6,1,2,5,1,2,4,,2,3,1,0,2,3,10,1,,6,1,2,4
202,2,17,24,138,210,1,11,1,1,3,9,4,1,1,,1,1,2,3,1,3,2,3,3,2,99,99,3,,0,3,4,9,1,1,2,1,2,1
203,2,17,24,138,210,1,10,1,1,3,8,1,1,2,,2,0,4,3,2,3,1,2,1,1,2,2,3,1,0,1,2,9,1,0,2,2,1,2
204,2,17,24,138,210,1,12,1,1,3,11,2,1,1,,1,1,1,12,3,1,1,2,2,1,2,1,1,1,99,99,99,11,0,0,16,4,99,99
205,2,17,24,138,210,1,14,1,1,4,10,4,2,1,,1,1,3,7,1,3,4,5,4,5,5,2,4,1,0,3,3,10,2,1,5,1,2,3
206,unknown,17,24,unknown,unknown,2,14,1,1,4,12,2,2,6,1,1,1,12,12,2,2,5,4,2,2,1,2,4,1,0,2,1,12,4,99,8,1,1,2
207,2,17,24,138,210,2,14,1,1,4,14,2,1,1,,1,0,4,5,3,1,3,2,2,1,,2,3,1,0,1,4,14,1,,4,1,2,3
209,unknown,17,24,unknown,unknown,1,14,1,1,4,12,2,4,2,,1,0,9,6,2,3,3,1,2,2,,5,3,2,1,2,1,12,5,,5,2,2,2
210,2,17,24,138,210,1,16,1,1,4,15,4,6,6,2,1,0,12,12,2,2,7,2,2,2,1,2,2,2,1,1,1,15,1,1,99,99,2,1
211,2,17,24,139,211,2,10,0,1,3,8,3,2,1,,1,1,1,2,2,2,2,1,2,2,1,2,2,1,0,2,4,8,1,1,2,2,2,1
213,2,17,24,139,211,2,10,1,1,3,9,3,2,1,,99,0,1,1,1,2,2,2,1,99,,1,99,99,99,1,99,99,99,,99,99,99,99
214,2,17,24,139,211,2,12,1,1,3,11,2,2,1,,1,1,3,3,1,2,3,1,3,3,,2,1,1,0,1,3,11,1,,4,1,2,1
215,unknown,17,24,unknown,unknown,2,14,1,1,4,11,3,1,1,,1,0,1,3,2,3,2,4,4,1,,1,1,1,0,1,1,11,1,,2,1,2,3
216,2,17,24,139,211,1,14,1,1,4,14,2,5,5,2,1,0,2,1,2,5,2,5,5,1,99,4,5,1,0,2,3,11,1,99,2,4,2,1
217,2,17,24,139,211,2,16,1,1,4,13,3,7,6,2,1,1,12,12,1,3,4,2,2,2,1,2,4,2,0,4,1,13,1,0,12,1,2,3
218,2,17,24,139,211,1,15,1,1,4,12,2,1,2,,1,1,3,4,1,2,3,3,1,2,1,1,1,1,0,3,1,12,1,99,4,4,2,2
219,2,17,24,139,211,1,16,1,1,3,15,1,99,99,,1,0,99,99,3,5,99,5,3,99,99,99,1,99,99,1,99,99,99,0,99,99,99,99
